Module,Submodule,Tasks,UI,FE,BE,Integration
,Audit Events,Ability to write system timeline events for automated state changes,,1,6,6
,Queue Sync,Ability to refresh pending work queues based on assignment and status changes,,2,6,5
Notifications & Live Activity,Realtime Infrastructure,Ability to initialize and maintain socket-based event channel,,2,7,6
,Event Security,Ability to authenticate socket connection using JWT identity,,1,5,5
,Notification Delivery,Ability to send user-scoped live events for workflow updates,,4,6,6
,Live Activity Panel,Ability to show collapsible right-side live activity panel,,8,5,3
,Visibility Controls,Ability to toggle live activity for users while admin sees always,,6,5,5
,Browser Alerts,Ability to trigger browser notifications for key updates,,4,4,4
,Notification Inbox,Ability to list notifications and mark as read by recipient,,6,5,5
Dashboard & Reporting,KPI Dashboard,"Ability to show lead, client, project, and pending task counters",,8,6,4
,,Ability to show lead conversion rate and average first response time,,6,6,5
,Role-Based Dashboards,Ability to show admin analytics dashboard and user-specific work dashboard separately,,,,
,User Workboard,Ability to present assigned actionable tasks for users without admin-only analytics widgets,,,,
,Execution Insights,Ability to show stage distribution and completion progress,,6,5,4
,Pending Work,Ability to display pending task queue with assignee and deadline,,6,5,4
,Report Metrics,Ability to capture communication statistics for management reporting,,2,6,6
,Audit Readiness,Ability to persist event trail fields required for audit and future reports,,1,6,6
Settings & Catalog Configuration,Admin Settings,Ability to manage live activity configuration for user visibility,,6,5,5
,Admin Security,Ability to update admin password from secure settings form,,6,5,4
,Config Storage,Ability to persist and read global app settings from MongoDB,,2,5,6
,Catalog Seed,Ability to maintain static categories and schemes in database records,,2,6,6
,Catalog APIs,Ability to fetch category and scheme master data in FE forms,,3,5,4
,Access Security,Ability to restrict settings and catalog controls to admin role,,1,4,4
UI UX System & Frontend Quality,Layout System,"Ability to implement consistent sidebar, topbar, and dashboard shell",,12,4,2
,Modal UX,Ability to keep create/edit actions in modals with confirmations,,10,4,2
,Modal Error UX,Ability to show validation and API errors within active modal surface,,,,
,Table UX,Ability to align search/filter controls above tables for maximum data space,,10,4,2
,Pagination UX,Ability to standardize table pagination controls using << and >> with aligned page status,,,,
,Badge System,Ability to apply status-based color capsules across tables and task lists,,8,4,2
,Date UX,"Ability to display smart datetime rules (Today, Yesterday, weekday, full date)",,8,4,2
,Sidebar Behavior,Ability to keep sidebar fixed with user details/signout pinned at bottom,,8,3,1
,Timeline UX,Ability to paginate timeline records and maintain responsive scroll behavior,,8,4,2
,Brand Alignment,Ability to align login/sidebar branding visuals with provided logo asset and color tone,,,,
"QA, Security Hardening & Release Readiness",API Validation,Ability to validate request payloads on all write endpoints,,6,8,8
,Security Controls,Ability to enforce webhook key and auth guard reliability checks,,5,6,6
,Workflow Testing,Ability to test lead-to-client-to-project lifecycle end-to-end,,6,8,8
,Permission Testing,Ability to verify role and assignment controls across modules,,5,6,6
,Upload Testing,Ability to test document upload/download and completion guards,,5,6,6
,Release Readiness,Ability to complete final smoke checks and go-live readiness list,,4,5,5
